"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0.420434851671577,0,0.0456033880162153,0,0,0,0,0,-0.0478657883005241
0.426528654705034,0,0,0,0,0,0,0.0727443246320228,-0.0149550616283798,0
0.0116575556010046,0,0,-0.392666858021576,0,0,0,0,0,0
0.111077552447236,0,-0.393389161588843,0,0,0,0,0,0,0
0,0,0,0,0,-0.506139802768606,0,0,0,-0.0128039004010885
0,0,0,0,0,0,0.0122452990632163,0.26061075010037,0.696741363053472,0
0,0,0,0,0,0.787146167938276,0,0.143610813073302,0,0
0,0.0325635452089464,0,0,0,0.157280328420902,0.720577721301362,0,0,0
0,0,0,0,0,0.884189871418512,0,0,0,0.0641121568937533
-0.0531171669106496,0,0,0,0,0,0,0,0.699021585240224,0
