"row","col","coeff"
1,3,-0.259857240295411
1,4,-0.121891089957518
1,5,-0.0307893190797685
1,6,-0.35201859613642
1,7,-0.999161758915103
1,8,-0.348483982599086
1,9,0.198784910110913
1,10,-0.421526361963671
1,11,-0.00560140049436358
1,13,-0.513253720982878
1,14,0.167320761994733
1,15,-0.0543097016092604
1,16,-0.114235662679641
1,19,0.0634328626391654
1,22,-0.506198598211417
1,23,-0.296073731521926
1,24,0.388145680429409
1,25,-0.0651372436496633
2,3,-0.869788578445202
2,4,-0.284466953922895
2,5,-0.168482702052971
2,6,-0.113160384947263
2,7,-0.0709377208875993
2,8,-0.00647080099548153
2,9,-0.0484039559903818
2,10,-0.657222100503554
2,12,-0.110596978599683
2,13,-0.313172492071026
2,14,-0.25572956108104
2,15,-0.322620653753708
2,16,-0.640753317197197
2,17,-0.271538904398356
2,18,-0.194751367678025
2,19,-0.861086844628926
2,20,-0.768015765147603
2,21,-0.659411880736042
2,22,-0.248525322882834
2,23,-0.396294740753488
2,24,-0.798746551764211
2,25,-0.76600605307376
3,1,-0.157175814339053
3,2,-0.208168146720207
3,4,-0.0129099614481517
3,5,-0.0873285348593561
3,9,-0.0201518221688608
3,10,-0.0471022649647665
3,12,-0.0792368755880793
3,14,0.0640844295777644
3,17,0.154945372529798
3,18,-0.10711341497593
3,19,-0.105878296507938
3,20,0.0722747223003012
3,21,-0.425193232716715
3,22,0.102828378807954
3,24,-0.0948725865242082
3,25,-0.0735904954519604
4,1,-0.167850994085418
4,2,-0.204464511846816
4,3,-0.142299722501688
4,5,-0.285768234284311
4,6,-0.566620962000917
4,9,-0.475180569752739
4,11,-0.352501186919657
4,12,-0.537434168149594
4,13,-0.0686135016167042
4,14,-0.651466889630953
4,15,-0.156047363229539
4,16,-0.285303605329594
4,17,-0.343023513200025
4,18,-0.103643796842356
4,19,0.0165139842999818
4,20,-0.239567181137614
4,21,-0.158542056744022
4,22,-0.229381202991211
4,24,-0.809978106227258
4,25,-0.538283201125677
5,1,-0.0242198638771218
5,2,-0.0358834253192669
5,4,-0.0605639286122457
5,9,-0.162231408581737
5,11,-0.250386931634434
5,12,-0.0488426073759513
5,14,-0.247205090725313
5,15,-0.142776948205546
5,16,-0.108631086440948
5,17,0.000230764177710834
5,18,-0.168787879391448
5,19,0.0290412277156204
5,22,0.0842249698483863
5,24,-0.327432839393933
5,25,0.166637954108071
6,1,-0.0259898121845082
6,2,-0.00729058505645997
6,4,-0.161701436095822
6,7,-0.213046017011643
6,9,-0.491422427975191
6,10,0.105138812832123
6,11,0.0677162778611806
6,12,-0.0290824572726306
6,13,-0.00471639573861303
6,14,-0.201816081313026
6,15,0.0282472579043365
6,16,0.383341405042207
6,17,-0.415998735147168
6,18,0.013699309103499
6,21,0.0261181861977452
6,22,-0.100801802595078
6,23,-0.195492975403023
6,24,-0.0428607967239871
7,1,-0.352610144174858
7,2,-0.0303993092945083
7,6,-0.173546230223851
7,9,0.130137533781318
7,11,-0.0677330096757406
7,12,0.244427129505694
7,13,-0.218356770399842
7,14,-0.02026934869988
7,16,0.0564800352972793
7,18,-0.15141189418891
7,19,0.037808475865583
7,20,0.178266610569413
7,21,0.0584619122020033
7,22,-0.356516716962535
7,23,-0.142804701648986
7,24,0.247772955286451
7,25,-0.00915722834803594
8,1,-0.274465327519892
8,2,-0.00271012644515686
8,6,-0.00527224211939105
8,7,0.0936485794356173
8,9,-0.0278352347400104
8,10,-0.194475855984904
8,13,-0.085604061818222
8,15,-0.121013571753216
8,17,-0.145693106460677
8,18,-0.0171878386848677
8,19,0.0329387723602333
8,20,-0.451849502739388
8,21,-0.178297641133022
8,23,0.0136907946541353
8,24,0.272814656610286
8,25,0.162914184618314
9,1,0.140438808139018
9,3,-0.0426235495431917
9,4,-0.0694552719462379
9,5,-0.15658451069676
9,6,-0.429858489100057
9,7,0.172349864415934
9,8,-0.0734244892487809
9,10,0.826689259040986
9,11,0.0718199871890853
9,12,-0.322085796151247
9,14,-0.155611506008763
9,15,-0.0360354106453208
9,17,-0.283128773729825
9,20,0.286706572994226
9,21,-0.06496328107429
9,24,-0.149419815610426
10,1,-0.129561901483746
10,2,-0.0256326831801099
10,5,0.0171589308613178
10,9,0.465675475139941
10,13,-0.033183620512574
10,16,-0.050241757813114
10,17,0.0638499823961543
10,19,-0.119547448205351
10,20,-0.14472859550978
10,21,0.00634219675641349
10,23,-0.0659971394872775
10,25,0.012643738544485
11,2,0.00360680587309207
11,4,-0.181204570265638
11,5,-0.28270218848448
11,6,0.113346585213903
11,10,-0.0110780990336319
11,12,-0.359234338849043
11,13,-0.0687984199578561
11,14,-0.0116821470057195
11,15,-0.202053748971704
11,16,-0.124923187140631
11,17,-0.0997057331717312
11,18,-0.301964331423021
11,19,-0.110726774107422
11,21,-0.0807719309650638
11,22,-0.0140838731957444
11,23,0.0983622011927876
11,24,-0.312845805685718
12,3,-0.0411253449593076
12,4,-0.114784560622981
12,5,-0.102278592831566
12,7,0.411146158195018
12,9,-0.234879371762238
12,10,-0.0628331764459953
12,11,-0.241708316538008
12,13,-1.51172874523192e-05
12,15,-0.0542472325344434
12,16,-0.463428811196826
12,18,0.0809815092625332
12,21,-0.000827409724049953
12,23,-0.0618084619965757
12,24,-0.372331964907492
13,1,-0.533438052092572
13,2,-0.136177737139223
13,4,-0.0232737794408792
13,6,-0.252613239621789
13,7,-0.737798183619168
13,8,-0.0529757188593321
13,10,-0.311684840061211
13,11,-0.114144033692106
13,12,-0.190368818367399
13,14,0.32752867181461
13,15,-0.142259489796083
13,16,-0.11584744028939
13,17,-0.0475151156524547
13,19,-0.135720090677578
13,20,0.238887103288896
13,22,-0.453050424262593
13,23,-0.54221167296056
13,24,0.0342181041104837
14,1,0.0814580271583346
14,2,-0.0278129459830164
14,4,-0.334087163880658
14,5,-0.339865812732788
14,6,-0.259434683431489
14,7,-0.207482057771551
14,8,-0.0225218784358001
14,9,-0.350642568054124
14,13,0.211331295965855
14,15,-0.145357137715298
14,16,-0.00545880628372177
14,18,-0.221466348599075
14,19,-0.0231470797708194
14,22,0.043307345146983
14,23,-0.037620178025916
14,24,-0.112944663503754
15,1,-0.113196040650373
15,2,-0.17306163838485
15,3,-0.14343278776832
15,4,-0.132898575681604
15,5,-0.495699983173184
15,6,0.0225804812756319
15,8,-0.456958002741927
15,9,-0.468977029494543
15,10,-0.0687786216216088
15,11,-0.541144464567407
15,12,-0.339857847109088
15,13,-0.288686825880245
15,14,-0.460926917383297
15,16,-0.422258747928695
15,17,-0.30995358135469
15,18,-0.161366862056454
15,19,-0.40730965660793
15,24,-0.485470156502776
15,25,-0.370150145055004
16,1,-0.0396647571539868
16,2,-0.0524274039426882
16,3,0.0528187827998923
16,5,-0.121451640889818
16,6,0.339630497826847
16,7,0.360590042118625
16,10,-0.108140510580828
16,11,-0.0740642769848176
16,12,-0.635812535783847
16,13,-0.000734447401741474
16,15,-0.0526765249354616
16,18,0.265231908772755
16,19,-0.0596813961414216
16,21,-0.000169177616370919
16,24,-0.226481012657484
16,25,-0.0312862093344735
17,2,-0.0497748329541863
17,3,0.128056455970345
17,4,-0.177139445782995
17,6,-0.754739670249355
17,7,0.0784551968137928
17,8,-0.378367851018981
17,9,-0.724920783945318
17,10,0.385139430038108
17,11,-0.0820980098040901
17,13,-0.0181357634563819
17,14,-0.0907244174258422
17,15,-0.129201847311398
17,19,-0.14640296889863
17,20,-0.307677806827516
17,21,-0.183166339899255
17,23,-0.0536387022668293
17,24,-0.324710086805158
17,25,-0.230072119615935
18,2,-0.041619632679181
18,3,-0.204066637598953
18,4,-0.105704243682065
18,5,-0.444184041710444
18,6,0.236105714691827
18,7,-0.420441349622439
18,8,-0.182369591869368
18,9,-0.106597091660443
18,10,-0.203330492895454
18,11,-0.712367041098738
18,12,0.133625331772847
18,14,-0.350480775090015
18,15,-0.119255866399789
18,16,0.274901826751165
18,19,-0.215438573242649
18,21,-0.421583374253363
18,22,-0.172283468272645
18,23,-0.0313359725038813
18,25,-0.00163483577547759
19,2,-0.374354715296963
19,3,-0.257243990108713
19,4,0.0506323666718914
19,10,-0.834126008649804
19,11,-0.273378655420466
19,12,0.0141327625809208
19,13,-0.264328285002287
19,14,-0.222241589662314
19,15,-0.276356916375063
19,16,-0.321188048007061
19,17,-0.179286663937393
19,18,-0.233640287039434
19,20,-0.198658100229796
19,21,-0.336682129552903
19,23,-0.163908755039868
19,24,-0.182707600857179
19,25,-0.0866354269971409
20,1,-0.086858023813256
20,2,-0.103415156639289
20,3,0.152051776160884
20,7,0.251062085709048
20,8,-0.426777385977447
20,9,0.320508880162451
20,10,-0.387590036289766
20,12,0.032781310559746
20,13,0.0668307927396211
20,14,-0.0162525494253596
20,17,-0.167614319542532
20,19,-0.071897725082783
20,21,-0.0852270059486336
20,23,-0.291380738255652
21,2,-0.233277024956483
21,3,-0.568107811774789
21,4,-0.0936166425669425
21,5,-0.0594205752416143
21,6,0.0159277071600016
21,7,0.139195387782042
21,8,-0.226012750538941
21,9,-0.245877414695714
21,11,-0.0641886182590035
21,13,-0.0747379986707346
21,17,-0.110370057393062
21,18,-0.278639332838248
21,19,-0.21495719837483
21,20,-0.0704308032823619
21,23,0.0820083299624122
21,24,0.185900443206432
22,1,-0.580850700812354
22,2,-0.186012219431138
22,3,0.0124391524886224
22,4,-0.207965893049125
22,5,0.0859176813952637
22,6,-0.395516393710936
22,7,-1.27135410479924
22,10,-0.115615139638598
22,11,-0.0556031788722731
22,13,-0.43143094959764
22,15,-0.0470452884183528
22,16,-0.0600579031397072
22,17,-0.047606466801701
22,18,-0.372478371124428
22,19,0.0163231373809857
22,23,-0.565500833016052
22,24,0.495914371998433
22,25,-0.33583959561422
23,1,-0.269144042677296
23,2,-0.185011798159213
23,6,-0.589933918704992
23,7,-0.372086810571666
23,10,-0.468839110997094
23,11,0.176287886881858
23,12,-0.31222706449707
23,13,-0.395387718560857
23,14,-0.0726624340676574
23,17,-0.188245365814816
23,18,-0.0450191734454715
23,19,-0.0781445971399266
23,20,-0.548112594129704
23,21,0.107870385738901
23,22,-0.416731790036234
23,24,0.0755206665928781
24,1,0.0775360489100742
24,2,-0.0908252140367831
24,3,-0.143091225669455
24,4,-0.167318583215077
24,5,-0.209265547518498
24,7,0.0603161167653056
24,8,0.341961982942732
24,9,-0.0144299775984799
24,11,-0.120562741202093
24,12,-0.272277057072807
24,13,-0.0213391963901754
24,14,-0.00731962510966234
24,15,-0.0355030511585843
24,16,-0.149499148374777
24,17,-0.0325746713848802
24,21,0.227648709278123
24,22,0.127193001340939
24,23,0.0243565335617141
24,25,-0.281215560490652
25,1,-0.0432450482269675
25,2,-0.2274978474354
25,3,-0.160008153499612
25,4,-0.325224020293302
25,5,0.278933603141804
25,7,-0.122124456369311
25,8,0.425915744804883
25,9,-0.0274112277155297
25,10,0.119500521709775
25,11,0.0820255492198452
25,15,-0.221399548481384
25,16,-0.291365922874348
25,17,-0.205649378584621
25,18,-0.0204537817935892
25,19,-0.0743791578249276
25,20,-0.155774296853276
25,21,0.145599623463392
25,22,-0.271875711747424
25,24,-0.588609888928885
